object,method,lights,status,runtime_sec,runtime_iqr_sec,runtime_std_sec,runtime_min_sec,runtime_max_sec,runtime_measured_runs,runtime_warmup_runs,end_to_end_sec,peak_gpu_memory_mb,gpu_memory_exceeds_physical,runtime_caveat,runtime_caveat_evidence,repeat_outputs_identical,mae_deg,device,gpu_name,gpu_total_memory_mb,runtime_protocol,error
ball,sdm_unips,32,unsupported_oom,,,,,,,,,,False,,,,,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,"RuntimeError: SDM-UniPS subprocess failed (1).
Traceback (most recent call last):
  File ""D:\Visual studio code\FabLoop_VJSS26\src\photometric_stereo\wrappers\sdm_worker.py"", line 172, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\src\photometric_stereo\wrappers\sdm_worker.py"", line 145, in main
    model.run(testdata=dataset, max_image_resolution=512, canonical_resolution=256)
  File ""D:\Visual studio code\FabLoop_VJSS26\third-party\SDM-UniPS\sdm_unips\modules\builder\builder.py"", line 98, in run
    nout, _, _, _  = self.net_nml(pI, pM, nImgArray.reshape(-1,1), decoder_resolution = patch_size * torch.ones(pI.shape[0],1), canonical_resolution=canonical_resolution* torch.ones(pI.shape[0],1))
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1885, in _call_impl
    return inner()
           ^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1833, in inner
    result = forward_call(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\parallel\data_parallel.py"", line 195, in forward
    return self.module(*inputs[0], **module_kwargs[0])
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\third-party\SDM-UniPS\sdm_unips\modules\model\model.py"", line 279, in forward
    x = self.glc_aggregation(x)  #[len(ids), 384]       
        ^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_ca
... [1014 characters omitted] ...
y"", line 202, in forward
    x = self.enc(x)
        ^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\container.py"", line 253, in forward
    input = module(input)
            ^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\third-party\SDM-UniPS\sdm_unips\modules\model\transformer.py"", line 150, in forward
    return self.mab(X, X)
           ^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\third-party\SDM-UniPS\sdm_unips\modules\model\transformer.py"", line 141, in forward
    O = O + self.dropout2(self.fc_o2(self.dropout1(F.gelu(self.fc_o1(O_))))) 
                                                   ^^^^^^^^^^^^^^^^^^^^^^
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 1.21 GiB. GPU 0 has a total capacity of 4.00 GiB of which 0 bytes is free. Of the allocated memory 8.25 GiB is allocated by PyTorch, and 2.11 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)
"
ball,sdm_unips,96,unsupported_oom,,,,,,,,,,False,,,,,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,"RuntimeError: SDM-UniPS subprocess failed (1).
Traceback (most recent call last):
  File ""D:\Visual studio code\FabLoop_VJSS26\src\photometric_stereo\wrappers\sdm_worker.py"", line 172, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\src\photometric_stereo\wrappers\sdm_worker.py"", line 145, in main
    model.run(testdata=dataset, max_image_resolution=512, canonical_resolution=256)
  File ""D:\Visual studio code\FabLoop_VJSS26\third-party\SDM-UniPS\sdm_unips\modules\builder\builder.py"", line 98, in run
    nout, _, _, _  = self.net_nml(pI, pM, nImgArray.reshape(-1,1), decoder_resolution = patch_size * torch.ones(pI.shape[0],1), canonical_resolution=canonical_resolution* torch.ones(pI.shape[0],1))
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1885, in _call_impl
    return inner()
           ^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1833, in inner
    result = forward_call(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\parallel\data_parallel.py"", line 195, in forward
    return self.module(*inputs[0], **module_kwargs[0])
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\third-party\SDM-UniPS\sdm_unips\modules\model\model.py"", line 226, in forward
    glc = self.image_encoder(data, nImgArray, canonical_resolution) # torch.Size([B, N, 256, H/4, W/4]) [img, mask]
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio cod
... [2591 characters omitted] ...
_unips\modules\model\convnext.py"", line 111, in forward_features
    x = self.stages[i](x)            
        ^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\container.py"", line 253, in forward
    input = module(input)
            ^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\third-party\SDM-UniPS\sdm_unips\modules\model\convnext.py"", line 42, in forward
    x = self.act(x)
        ^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1779, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\module.py"", line 1790, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Visual studio code\FabLoop_VJSS26\.venv\Lib\site-packages\torch\nn\modules\activation.py"", line 816, in forward
    return F.gelu(input, approximate=self.approximate)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 2.25 GiB. GPU 0 has a total capacity of 4.00 GiB of which 0 bytes is free. Of the allocated memory 5.60 GiB is allocated by PyTorch, and 3.00 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)
"
harvest,l2,4,ok,0.02966500003822148,0.000232299993513152,0.0002332486640405357,0.02946910000173375,0.029933699988760054,3,1,0.02966500003822148,0.0,False,,,True,31.672317543372856,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
harvest,l2,32,ok,0.12095249997219071,0.0012563999916892499,0.0012864762947106792,0.1192171000293456,0.1217299000127241,3,1,0.12095249997219071,0.0,False,,,True,30.641076632329593,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
harvest,l2,96,ok,0.27410770003916696,0.005821350001497194,0.005888967065150418,0.26674509997246787,0.27838779997546226,3,1,0.27410770003916696,0.0,False,,,True,30.54651524518239,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
harvest,l1,4,ok,222.087893500051,1.3992993999854662,1.4342903548896353,220.14320430002408,222.941803099995,3,1,222.087893500051,0.0,False,,,True,33.99969949231913,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
harvest,l1,32,ok,120.87692370003788,0.7760770000168122,0.7793656421799539,119.9769682000042,121.52912220003782,3,1,120.87692370003788,0.0,False,,,True,28.525013805400167,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
harvest,l1,96,ok,969.9301593000419,107.57337314999313,107.81134259517295,874.7569854999892,1089.9037317999755,3,1,969.9301593000419,0.0,False,possible_partial_throttle,"Measured runs rise monotonically 875 -> 970 -> 1090 s (IQR/median 11%, the largest spread in the runtime pass), consistent with the throttle beginning during this case. Median 970 s is still within x1.04 of the 935 s pass-1 single run.",True,28.257729265967914,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
harvest,ps_fcn,4,ok,0.11842640000395477,0.0020192500087432563,0.0021398619444774705,0.11763390002306551,0.12167240004055202,3,1,0.11842640000395477,428.04052734375,False,,,True,20.312195214591014,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
harvest,ps_fcn,32,ok,0.8280499000102282,0.0020536000083666295,0.002176585204908606,0.8247470000060275,0.8288542000227608,3,1,0.8280499000102282,628.85302734375,False,,,True,16.246093753390575,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,1 warm-up run(s) then 3 measured run(s); median reported,
